漢字,漢字　県名入,ひらがな,English,標高,都道府県,エリア,緯度,経度,近くの町,,,,,
富良野,富良野　　北海道,ふらの,Furano,1876 ,北海道,北海道,43.393643,142.6351196,富良野市,,,,,
美瑛,美瑛　　北海道,びえい,Biei,240 ,北海道,北海道,43.5433073,142.6160688,美瑛町,,,,,
日高,日高　　北海道,ひだか,Hidaka,284 ,北海道,北海道,42.8952597,142.4279,日高町,,,,,
トマム・サホロ,トマム・サホロ　　北海道,とまむ・さほろ,Tomammu ・ Sahoro,530 ,北海道,北海道,43.067349,142.703682,占冠村,,,,,
ニセコ,ニセコ　　北海道,にせこ,Niseko,1266 ,北海道,北海道,42.7926461,140.6846342,ニセコ町,,,,,
利尻山,利尻山　　北海道,りしリやま,Rishiriyama,1721 ,北海道,北海道,45.1784788,141.2420214,利尻町,,,,,
羅臼岳,羅臼岳　　北海道,らうすだけ,Rausudake,1661 ,北海道,北海道,44.0749979,145.12,斜里町,,,,,
斜里岳,斜里岳　　北海道,しゃりだけ,Syaridake,1547 ,北海道,北海道,43.7656603,144.7177152,清里町,,,,,
雌阿寒岳,雌阿寒岳　　北海道,めあかんだけ,Meakanndake,1499 ,北海道,北海道,43.3863474,144.0087348,釧路市,,,,,
大雪山・旭岳,大雪山・旭岳　　北海道,たいせつざん・あさひだけ,Taisetuzan ・ Asahidake,2291 ,北海道,北海道,43.6636111,142.8541666,上川町,,,,,
トムラウシ山,トムラウシ山　　北海道,とむらうしうやま,Tomuraushiuyama,2141 ,北海道,北海道,43.5271313,142.8487039,新得町,,,,,
十勝岳,十勝岳　　北海道,とかちだけ,Tokachidake,2077 ,北海道,北海道,43.4166666,142.6808333,美瑛町,,,,,
幌尻岳,幌尻岳　　北海道,ぽろしりだけ,Poroshiridake,2052 ,北海道,北海道,42.7193396,142.6828192,新冠町,,,,,
羊蹄山,羊蹄山　　北海道,ようていざん,Youteizan,1898 ,北海道,北海道,42.8266579,140.8113888,倶知安町,,,,,
大千軒岳,大千軒岳　　北海道,だいせんげんだけ,Daisengendake,1072 ,北海道,北海道,41.5792424,140.1610836,松前町,,,,,
大雪山・黒岳,大雪山・黒岳　　北海道,たいせつざん・くろだけ,Taisetuzan ・ Kurodake,1984 ,北海道,北海道,43.6927536,142.9345398,上川町,,,,,
横津岳,横津岳　　北海道,よこつだけ,Yokotudake,1167 ,北海道,北海道,41.9378065,140.7711668,七飯町,,,,,
駒ヶ岳(剣ヶ峯),駒ヶ岳(剣ヶ峯)　　北海道,こまがたけ（けんがみね）,Komagatake (kengamine),1131 ,北海道,北海道,42.065284,140.681255,森町,,,,,
赤岩青巌峡,赤岩青巌峡　　北海道,あかいわせいがんきょう,Akaiwaseigankyou,320 ,北海道,北海道,42.9447296,142.3730957,占冠村,,,,,
昭和新山,昭和新山　　北海道,しょうわしんざん,Shouwashinzan,398 ,北海道,北海道,42.54262,140.8642029,壮瞥町,,,,,
アポイ岳,アポイ岳　　北海道,あぽいだけ,Aipodake,810 ,北海道,北海道,42.1078453,143.0256182,様似町,,,,,
石狩岳,石狩岳　　北海道,いしかりだけ,Ishikaridake,1967 ,北海道,北海道,43.5465414,143.0221579,上川町,,,,,
芦別岳,芦別岳　　北海道,あしべつだけ,Ashibetudake,1726 ,北海道,北海道,43.2356147,142.2836376,南富良野町,,,,,
